Team,Player_Name,Player_Role
Australia,Aaron Finch(C),Batsman
Australia,David Warner,Batsman
Australia,Steve Smith,Batsman
Australia,Mitchell Marsh,All-Rounder
Australia,Marcos Stoinis,All-Rounder
Australia,Glen Maxwell,All-Rounder
Australia,Mathew Wade(WK),Batsman
Australia,Adam Zampa,Bowler
Ausralia,Josh Hazzlewood,Bowler
Australia,Mitchell Starc,Bowler
Australia,Pat Cummins,Bowler
