Team,Player_Name,Player_Role
England,Jos Buttler(WK),Batsman
England,Joy Roy,Batsman
England,Johnny Bairstow,Batsman
England,Dawid Malan,Batsman
England,Moeen Ali,All-Rounder
England,Eoin Morgan(C),Batsman
England,Chris Woakes,All-Rounder
England,Chris Jordan,Bowler
England,Mark Wood,Bowler
England,Adil Rashid,Bowler
