Team,Player_Name,Player_Role
Pakistan,Asif Ali,Batsman
Pakistan,Mohamad Rizwan(WK),Batsman
Pakistan,Babar Azam(C),Batsman
Pakistan,Shoaib Malik,All-Rounder
Pakistan,Fakhar Zahman,Batsman
Pakistan,Mohamed Hafeez,All-Rounder
Pakistan,Imad Wasim,All-Rounder
Pakistan,Shadab Khan,All-Rounder
Pakistan,Shaheen Afridi,Bowler
Pakistan,Rauf Ali,Bowler
Pakistan,Hasan Ali,Bowler
