Team,Player_Name,Player_Role
SouthAfrica,Quinton De Kock(WK),Batsman
SouthAfrica,Reeza Hendricks,Batsman
SouthAfrica,Aiden Markram,All-Rounder
SouthAfrica,Rasie van Dussen,Batsman
SouthAfrica,Temba Bavuma(C),Batsman
SouthAfrica,David Miller,Batsman
SouthAfrica,Dwaine Pretorious,Bowler
SouthAfrica,Chris Morris,All-Rounder
SouthAfrica,T.Maharaj,Bowler
SouthAfrica,T.Shamsi,Bowler
SouthAfrica,Kagiso Rabada,Bowler
