Team,Player_Name,Player_Role
Srilanka,Kusal Perera(WK),Batsman
Srilanka,fsdf,dfg
Srilanka,Avishka Fernando,Batsman
Srilanka,Charith Asalanka,Batsman
Srilanka,Dasun Shanaka(C),All-Rounder
Srilanka,Chamika Karunartne,All-Rounder
Srilanka,Wanindu Hasaranga,All-Rounder
Srilanka,Maheesh Thikshana,Bowler
Srilanka,Dushmantha Chameera,Bowler
Srilanka,Lahiru Kumara,Bowler
Srilanka,Isuru Udana,All-Rounder
