Team,Player_Name,Player_Role
West Indies,Ewin Lewis,Batsman
West Indies,Lendl Simmons,Batsman
West Indies,Chris Gayle,All-Rounder
West Indies,Nicholas Pooran(WK),Batsman
West Indies,Shimron Hetmyer,Batsman
West Indies,Kieron Pollard(C),All-Rounder
West Indies,Dwayne Bravo,All-Rounder
West Indies,Andre Russell,All-Rounder
West Indies,Walsh JR.,Bowler
West Indies,Jason Holder,All-Rounder
West Indies,Ravi Rampaul,Bowler

