Team,Player_Name,Player_Role
India,Rohit Sharma,Batsman
India,KL Rahul,Batsman
India,Virat Kohli(C),Batsman
India,Hardik Pandya,All-Rounder
India,Ravindra Jadeja,All-Rounder
India,Rishabh Pant(WK),Batsman
India,Ravichandran Ashwin,Bowler
India,Bhuvi Kumar,Bowler
India,Mohammad Shami,Bowler
India,Jasprit Bumrah,Bowler
India,Ishan KIshan,Batsman
